jurisdiction;country;publisher;count;sourceDomain;publisherAbreviation;match;measure value;codelistOrganisationRegistrationAgencyKey;registryCode;registryName;countryCode;country_1;registryWebsite;publicDatabase;iatiUsageRules
us_md;Maryland (US);Maryland Department of Assessments & Taxation;1,027,406;http://sdatcert3.resiusa.org;MDOAT;Department of Social Welfare;28;15;GH-DSW;Department of Social Welfare;GH;Ghana;;N;
us_me;Maine (US);Maine Bureau of Corporations, Elections and Commissions;107,404;https://icrs.informe.org;MBOCEAC;Australian Charities and Not-for-profits Commission;38;4;AU-ACNC;Australian Charities and Not-for-profits Commission;AU;Australia;http://www.acnc.gov.au/ACNC/;Y;
us_mi;Michigan (US);Michigan Department of Energy, Labor & Economic Growth;1,837,609;http://www.dleg.state.mi.us;MDOELEG;Department of Social Welfare;36;15;GH-DSW;Department of Social Welfare;GH;Ghana;;N;
us_mo;Missouri (US);Missouri Secretary of State;1,231,692;https://www.sos.mo.gov;MSOS;Ministry of Economy;18;2;AF-MOE;Ministry of Economy;AF;Afghanistan;http://moec.gov.af/en;Y;
us_ms;Mississippi (US);Mississippi Secretary of State;493,167;https://business.sos.state.ms.us;MSOS;Irish Register of Charities;20;20;IE-CHY;Irish Register of Charities;IE;Ireland;;N;
us_nc;North Carolina (US);North Carolina Secretary of State, Corporations Division;1,261,694;http://www.secretary.state.nc.us;NCSOSCD;Australian Charities and Not-for-profits Commission;37;4;AU-ACNC;Australian Charities and Not-for-profits Commission;AU;Australia;http://www.acnc.gov.au/ACNC/;Y;
us_nh;New Hampshire (US);New Hampshire Secretary Of State Corporation Division;533,478;https://www.sos.nh.gov;NHSOSCD;Isle of Man Companies Registry;36;22;IM-CR;Isle of Man Companies Registry;IM;Isle of Man;http://www.gov.im/ded/companies/companiesregistry.xml?menuid=21615;Y;
us_nj;New Jersey (US);State of New Jersey Division of Revenue;1,153,962;https://www.njportal.com;SONJDOR;Irish CompaniesRegistration Office;28;21;IE-CRO;Irish CompaniesRegistration Office;IE;Ireland;http://www.cro.ie/;Y;
us_nm;New Mexico (US);New Mexico Public Regulation Commission (Corporations Division);343,184;https://portal.sos.state.nm.us;NMPRCCD;The Charity Commission for Northern Ireland;39;12;GB-NIC;The Charity Commission for Northern Ireland;GB;United Kingdom;http://www.charitycommissionni.org.uk/;Y;
us_ny;New York (US);New York Department of State;4,334,117;https://data.ny.gov;NYDOS;NGO Board of Malawi;19;31;MW-NBM;NGO Board of Malawi;MW;Malawi;http://ngoboardmalawi.mw/directory.php;N;There is a pdf file with a list of registered NGOs, but these do not appear to be registration numbers. New database is planned
